site.name,combined.correction.factor,mean.catchment.area,effective.catchment.area,identity.bromeliad.species,natural.detrital.species.1.15n,natural.detrital.species.2.15n,fertilized.detrital.species.1.15n,fertilized.detrital.species.2.15n,natural.bromeliad.15n,natural.bromeliad.percentn,natural.bromeliad.percentc,identity.15n.detrital.species.1,identity.15n.detrital.species.2,identity.leafpack.species.1,identity.leafpack.species.2,start.water.addition,last.day.sample,ibutton.frequency
argentina,0.357,1039.533,371.113281,aechmea.distichantha,NA,NA,NA,NA,NA,NA,NA,NA,NA,myrcianthes.cisplatensis,NA,2013-10-10T00:00:00Z,2013-12-16T00:00:00Z,hour
cardoso,0.088,4773.273,420.05,quesnelia.arvensis,NA,NA,6984.8,NA,1.4851157080001487,4.2,NA,eugenia.uniflora,NA,myrcia.splendens,NA,2013-03-16T00:00:00Z,2013-05-22T00:00:00Z,hour
colombia,0.3613,2297.8979,830.23051127,Guzmania.spp,-1.0933333333333335,-1.2966666666666666,-1.5392241056562672,-0.22380509218885103,-3.768888888888889,0.5749410971115775,45.09735015558103,alnus.acuminata,melastomatacea,alnus.acuminata,melastomatacea,2013-04-03T00:00:00Z,2013-06-09T00:00:00Z,hour
frenchguiana,0.38,1060,402.8,vriesea.splendens,0.46,NA,1148.7,NA,1.86,1.04,50.62,Melastomataceae,NA,duguetia.pycnastera,eperua.grandiflora,2012-11-01T00:00:00Z,2013-01-06T00:00:00Z,hour
macae,0.27,1218,328.86,neoregelia.cruenta,NA,NA,6984.8,NA,NA,NA,NA,eugenia.uniflora,NA,eugenia.uniflora,NA,2013-03-15T00:00:00Z,2013-05-21T00:00:00Z,hour
puertorico,0.3877,1110.14,43.4013,guzmania,NA,NA,NA,NA,-2.4479342202511476,1.0181656574586175,48.83634278285711,melostomataceae,NA,dacryodes.excelsa,dendropanax.arboreus,2014-03-23T00:00:00Z,2014-05-29T00:00:00Z,hour
costarica,0.397,1622,643.9340000000001,guzmania.spp,NA,NA,NA,NA,-1.66,0.45,43.78,conostegia.xalapensis,NA,conostegia.xalapensis,NA,2012-10-06T00:00:00Z,2012-12-12T00:00:00Z,hour
