site_brom.id,site.x,trt.name,mu.scalar,k.scalar,intended.mu,intended.k,temporal.block,maxvol,leaf.number,mean.diam,catchment.area,turbidity.initial,oxygen.percent.initial,oxygen.conc.initial,ph.initial,chlorophyll.initial,bacteria.per.ml..initial,amoeba.per.ml.initial,algae.per.ml.initial,ciliates.per.ml.initial,flagellates.per.ml.initial,rotifers.per.ml.initial,leafpack1.species1.mass.initial,leafpack2.species1.mass.initial,leafpack1.species2.mass.initial,leafpack2.species2.mass.initial,co2.final,methane.final,turbidity.final,oxygen.percent.final,oxygen.conc.final,ph.final,chlorophyll.final,bacteria.per.ml.final,amoeba.per.ml.final,algae.per.ml.final,ciliates.per.ml.final,flagellates.per.ml.final,rotifers.per.ml.final,leafpack1.species1.mass.final,leafpack2.species1.mass.final,leafpack1.species2.mass.final,leafpack2.species2.mass.final,water.volume.final,fpom.final,n15.bromeliad.final,final.bromeliad.percentn,final.bromeliad.percentc,site.y,species1,species2,decomp,sample_size_species
cardoso_DEC06,cardoso,mu0.2k2,0.2,2,1.51,0.39,c,700,27,80,NA,46.76,NA,NA,5.6,2.7438,1115713.6038779055,NA,NA,NA,NA,NA,250.5,201.6,NA,NA,NA,NA,226.7,NA,NA,5.3,54.56999999999999,5779235.933756057,NA,NA,NA,NA,NA,196.6,142.1,NA,NA,560,345.01845018450183,1.2469539711998934,0.9243796551776354,NA,cardoso,0.25515427478376584,NA,0.25515427478376584,1
cardoso_DEC24,cardoso,mu3k1,3,1,22.67,0.19,c,1e3,29,76,NA,45.54,NA,NA,5.1,-2.8804799999999995,529763.2939276386,NA,NA,NA,NA,NA,161.5,214.29999999999998,NA,NA,NA,NA,172.3,NA,NA,5.1,28.804799999999997,3636102.608321519,NA,NA,NA,NA,NA,124.2,146.1,NA,NA,365,141.42857142857167,1.3243779753389084,0.4873854829358072,NA,cardoso,0.27460260131264724,NA,0.27460260131264724,1
cardoso_DEC21,cardoso,mu0.1k0.5,0.1,0.5,0.76,0.1,c,1250,34,88,NA,31.07,NA,NA,5.7,-4.38192,2375908.1060997127,NA,NA,NA,NA,NA,282.1,187.29999999999998,NA,NA,NA,NA,402,NA,NA,5.033333333333333,72.624,4262186.501145093,NA,NA,NA,NA,NA,211.29999999999998,140.9,NA,NA,558,455.7142857142856,0.18503790717283586,0.44022019678598573,NA,cardoso,0.24935287229691583,NA,0.24935287229691583,1
cardoso_DEC28,cardoso,mu1k2,1,2,7.56,0.39,c,1166,28,77,NA,34.93,NA,NA,5.4,-5.19588,866885.3900634086,NA,NA,NA,NA,NA,244.29999999999998,276.8,NA,NA,NA,NA,103.2,NA,NA,4.866666666666667,8.702639999999999,4246133.06799577,NA,NA,NA,NA,NA,190.29999999999998,210.2,NA,NA,285,330.0000000000003,2.8308627526358876,0.4250706689232658,NA,cardoso,0.230823320848289,NA,0.230823320848289,1
cardoso_DEC48,cardoso,mu0.1k2,0.1,2,0.76,0.39,c,1070,32,82,NA,32.37,NA,NA,5.8,-4.738919999999999,1003339.571832649,NA,NA,NA,NA,NA,250.7,176,NA,NA,NA,NA,356,NA,NA,4.8,70.9716,8733067.633231375,NA,NA,NA,NA,NA,200.8,130.70000000000002,NA,NA,643,307.99999999999966,2.378913872085553,0.584147886113719,NA,cardoso,0.22821452206548926,NA,0.22821452206548926,1
cardoso_DEC47,cardoso,mu2.5k0.5,2.5,0.5,18.89,0.1,c,1160,33,114,NA,32.61,NA,NA,5.6,-4.59204,850831.9569140861,NA,NA,NA,NA,NA,194.20000000000002,156.6,NA,NA,NA,NA,121.8,NA,NA,5.033333333333334,12.307319999999999,2857511.1005793842,NA,NA,NA,NA,NA,147,118.7,NA,NA,711,424.2857142857139,5.67745854625934,0.4447078442440895,NA,cardoso,0.24253314182821623,NA,0.24253314182821623,1
cardoso_DEC34,cardoso,mu2k0.5,2,0.5,15.11,0.1,c,1125,32,64,NA,36.21,NA,NA,5,-3.6475199999999997,401335.8287330595,NA,NA,NA,NA,NA,187.79999999999998,214.10000000000002,NA,NA,NA,NA,199.6,NA,NA,4.8999999999999995,25.805999999999997,3403327.8276563445,NA,NA,NA,NA,NA,147.29999999999998,161.89999999999998,NA,NA,636,612.8571428571424,0.5878493408166818,0.38307013809314144,NA,cardoso,0.22973312760302816,NA,0.22973312760302816,1
cardoso_DEC40,cardoso,mu1.5k0.5,1.5,0.5,11.33,0.1,c,1e3,34,93,NA,26.03,NA,NA,4.3,-6.31584,200667.91436652976,NA,NA,NA,NA,NA,171.5,188.1,NA,NA,NA,NA,255.8,NA,NA,5.066666666666667,78.4992,3371220.9613577,NA,NA,NA,NA,NA,133.5,145.4,NA,NA,385,682.0000000000005,-1.6235448802751629,0.5690168222527053,NA,cardoso,0.22429062762038054,NA,0.22429062762038054,1
colombia_1,colombia,mu0.1k0.5,0.1,0.5,0.89,0.25,b,1194,24,81.05099999999999,2572,290.1,NA,NA,5.1,6579,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,1.8282205186666667,0.4109287385,262.1,25.4,NA,6.2,4564,1372279.087014557,NA,NA,NA,NA,NA,3510,3160,1130,2150,96,1972,7.14274251763441,0.4700052883909484,46.43,colombia,0.16625,0.4533333333333333,0.3097916666666667,2
colombia_2,colombia,mu0.2k0.5,0.2,0.5,1.79,0.25,c,274,19,81.24,1366.672,238.4,NA,NA,5.4,5047,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,1.9002062713333334,0.4156156093,314.1,6.9,NA,5.4,6559,1989896.9604553073,NA,NA,NA,NA,NA,3290,3180,2230,2040,76,2508.014337,7.973427613295026,0.6803922454980493,44.62,colombia,0.19124999999999998,0.28833333333333333,0.23979166666666665,2
colombia_3,colombia,mu0.4k0.5,0.4,0.5,3.57,0.25,c,330,19,93.72149999999999,2249.43,219.3,NA,NA,5.1,5307,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3190,3140,1840,1590,1,1333.333333,10.550965022711683,0.5782571600023543,44.39,colombia,0.20875,0.42833333333333334,0.31854166666666667,2
colombia_4,colombia,mu0.6k0.5,0.6,0.5,5.36,0.25,c,582,30,101.0905,3702.489,185,NA,NA,5.1,4973,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,1.9026262713333333,0.4097784921,272.9,8.1,NA,6.4,5880,NA,NA,NA,NA,NA,NA,1580,2600,2300,2060,112,1547,4.198134817762395,0.7129751723643736,44.67,colombia,0.4775,0.2733333333333333,0.3754166666666666,2
colombia_5,colombia,mu0.8k0.5,0.8,0.5,7.14,0.25,b,1726,42,106.3365,5195.003,230,NA,NA,4.7,2428,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,2.0850268193333332,0.4140604761,210,16.7,NA,5.7,3165,558165.0977922012,NA,NA,NA,NA,NA,3030,3420,2210,1870,454,3644.666667,3.926603370028296,0.6296696279236629,46.77,colombia,0.19374999999999998,0.31999999999999995,0.25687499999999996,2
colombia_6,colombia,mu1k0.5,1,0.5,8.93,0.25,b,483,21,121.973,3295.27,242,NA,NA,5,3443,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,168,NA,NA,NA,5072,989515.2920828109,NA,NA,NA,NA,NA,3080,2510,2300,2150,20,2730,8.633148464086023,0.5932407824020511,45.89,colombia,0.30125,0.2583333333333333,0.27979166666666666,2
colombia_7,colombia,mu1.5k0.5,1.5,0.5,13.39,0.25,c,380,17,84.5115,2021.28,262.5,NA,NA,5.3,5343,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,1.8882448236666667,0.4089564493,NA,5.8,NA,6.4,NA,4707943.62677986,NA,NA,NA,NA,NA,2770,3100,1940,1200,21,2356.3125,7.1829693987802035,0.735580984748437,44.59,colombia,0.26625,0.4766666666666667,0.37145833333333333,2
colombia_8,colombia,mu2k0.5,2,0.5,17.85,0.25,c,988,26,103.06200000000001,2545.36,243.3,NA,NA,5,4268,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,1.9548271416666667,0.41564628260000003,155.5,6.3,NA,5.7,3828,532565.9282291952,NA,NA,NA,NA,NA,2900,2900,1970,2510,44.1,3107.5,10.079304841277265,0.5252368380545432,45.75,colombia,0.275,0.2533333333333333,0.26416666666666666,2
colombia_9,colombia,mu2.5k0.5,2.5,0.5,22.31,0.25,a,358,32,85.08,2264.281,298.5,NA,NA,5,6408,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,188.9,34,NA,6.1,4268,227303.70065989904,NA,NA,NA,NA,NA,3220,3730,1880,2310,47,2705.6,6.896352870616431,0.6784588530386202,46.42,colombia,0.13125,0.3016666666666667,0.21645833333333336,2
colombia_10,colombia,mu3k0.5,3,0.5,26.78,0.25,b,354,20,66.4525,1424.007,262.2,NA,NA,4.2,3811,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,2.0772310936666667,0.4160174287,212.1,3,NA,5.7,5058,216675.645318088,NA,NA,NA,NA,NA,3790,3390,2060,2160,135,1882.58,5.830340520252928,0.7592701284991296,45.43,colombia,0.1025,0.2966666666666667,0.19958333333333333,2
colombia_11,colombia,mu0.1k1,0.1,1,0.89,0.49,b,202,20,117.82400000000001,1617.891,302.7,NA,NA,4.8,7085,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,1.8998137143333331,0.4168548081,207.9,4,NA,6.3,5172,156994.8096778427,NA,NA,NA,NA,NA,2960,2780,2100,1980,65,2893.928571,6.230597987653564,0.6197710692544581,45.54,colombia,0.2825,0.32,0.30125,2
colombia_12,colombia,mu0.2k1,0.2,1,1.79,0.49,b,189,36,81.4315,1557.886,276.9,NA,NA,4.4,4713,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2880,3e3,2020,2370,0,2524.665,4.082482534468241,0.6879201182190937,44.84,colombia,0.265,0.2683333333333333,0.26666666666666666,2
colombia_13,colombia,mu0.4k1,0.4,1,3.57,0.49,a,263,18,73.8115,1326.711,261.6,NA,NA,4.8,3288,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,307.3,25.8,NA,7.1,3957,NA,NA,NA,NA,NA,NA,2930,3670,1860,1900,50,847.7142857142861,3.100946634510903,0.6393923374366847,45.74,colombia,0.17500000000000002,0.3733333333333333,0.27416666666666667,2
colombia_14,colombia,mu0.6k1,0.6,1,5.36,0.49,a,211,16,72.089,1440.442,235,NA,NA,NA,4544,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3430,3320,2220,1970,0,3529.575,1.4858373565073326,0.871773546904894,45.77,colombia,0.15625,0.30166666666666664,0.22895833333333332,2
colombia_15,colombia,mu0.8k1,0.8,1,7.14,0.49,c,237,24,73.518,1640.467,190.4,NA,NA,4.8,4918,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,169.3,NA,NA,NA,5582,NA,NA,NA,NA,NA,NA,3320,3090,1910,2260,10,1064.8,3.3956085389038337,0.610051897100365,44.71,colombia,0.19875,0.305,0.251875,2
colombia_16,colombia,mu1k1,1,1,8.93,0.49,a,265,19,87.2175,2607.528,303.4,NA,NA,5,3341,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,388.5,23.3,NA,6,4808,2765586.49893333,NA,NA,NA,NA,NA,3200,2970,2160,2020,54,2692.571429,-3.2092106046216182,0.5916700587715651,51.14,colombia,0.22875,0.30333333333333334,0.2660416666666667,2
colombia_17,colombia,mu1.5k1,1.5,1,13.39,0.49,b,278,17,74.47800000000001,901.862,263.4,NA,NA,5.1,5585,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2250,2210,2e3,1810,0,1599.6,2.4864810250089224,0.9929179651987675,43.93,colombia,0.4425,0.365,0.40375,2
colombia_18,colombia,mu2k1,2,1,17.85,0.49,c,217,24,104.988,1150.215,168.1,NA,NA,5.1,4106,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,127.4,NA,NA,NA,4033,NA,NA,NA,NA,NA,NA,3110,NA,2100,2080,11,2185,4.039238637236514,0.9745872281360615,42.91,colombia,0.2225,0.30333333333333334,0.2629166666666667,2
colombia_19,colombia,mu2.5k1,2.5,1,22.31,0.49,a,790,32,114.564,3661.489,348,NA,NA,4.5,4772,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,149.3,40,NA,5.6,1110,NA,NA,NA,NA,NA,NA,3460,3190,2190,2190,184,3234.964286,-3.634344169220276,0.7688106754677826,49.8,colombia,0.16875,0.27,0.21937500000000001,2
colombia_20,colombia,mu3k1,3,1,26.78,0.49,b,73,15,68.375,951.178,286.6,NA,NA,4.7,6258,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3440,3030,2230,2830,0,1396.8,6.440783441640329,0.6790527753078932,43.72,colombia,0.19125,0.15666666666666665,0.17395833333333333,2
colombia_21,colombia,mu0.1k2,0.1,2,0.89,0.99,c,411,23,72.845,2001.388,187.1,NA,NA,4.9,4539,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,1.8590478059999997,0.4156278786,141.9,16,NA,6,3804,87430.52354940392,NA,NA,NA,NA,NA,3720,3670,2240,2320,65,3436.8,5.707648532758261,0.7090555043273952,43.85,colombia,0.07625000000000001,0.24,0.15812500000000002,2
colombia_22,colombia,mu0.2k2,0.2,2,1.79,0.99,a,341,21,105.75200000000001,1443.28,292.7,NA,NA,4.5,5642,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,385.4,9.8,NA,6.3,4387,1318066.124088047,NA,NA,NA,NA,NA,2860,3180,2220,2320,52,1597.805556,2.330601860568976,0.7498683815526601,45.64,colombia,0.245,0.24333333333333335,0.24416666666666667,2
colombia_23,colombia,mu0.4k2,0.4,2,3.57,0.99,c,438,23,99.803,2600.606,196.3,NA,NA,4.6,5402,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,1.983109733,0.4144530936,104.7,2.8,NA,5.7,4106,138436.7598516474,NA,NA,NA,NA,NA,3e3,3210,2070,2150,51.4,4314.6,3.7264746363279775,0.6966932112408615,43.61,colombia,0.22375,0.29666666666666663,0.2602083333333333,2
colombia_24,colombia,mu0.6k2,0.6,2,5.36,0.99,a,180,21,108.87100000000001,2080.189,290.4,NA,NA,4.7,3920,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,236,14.5,NA,5.9,5206,3415112.276381934,NA,NA,NA,NA,NA,3390,3250,2040,2130,33,1689.371212,5.344600930417482,0.8781209421526727,45.76,colombia,0.16999999999999998,0.305,0.2375,2
colombia_25,colombia,mu0.8k2,0.8,2,7.14,0.99,b,200,17,145.34199999999998,1928.491,279.8,NA,NA,4.9,4967,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,331.9,NA,NA,NA,6656,1386090.5755172893,NA,NA,NA,NA,NA,3050,3740,1910,2100,2,943.4,7.207105527467679,0.5798654760616335,44.24,colombia,0.15125,0.33166666666666667,0.24145833333333333,2
colombia_26,colombia,mu1k2,1,2,8.93,0.99,c,137,26,106.9925,2240.242,252.3,NA,NA,NA,5741,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,1.8461857846666667,0.4149868079,157.5,NA,NA,NA,4705,320481.98237371654,NA,NA,NA,NA,NA,2890,2240,2010,1870,24.5,3098.75,7.772293207566063,0.7693844671222511,44.03,colombia,0.35875,0.35333333333333333,0.3560416666666667,2
colombia_27,colombia,mu1.5k2,1.5,2,13.39,0.99,a,453,29,72.989,2473.12,212.7,NA,NA,4.7,2267,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,NA,NA,407.4,23.6,NA,6.2,2685,NA,NA,NA,NA,NA,NA,2980,3510,2440,2390,78,2402.507154,1.6085293440019997,0.7014528427206597,45,colombia,0.18875,0.195,0.19187500000000002,2
colombia_28,colombia,mu2k2,2,2,17.85,0.99,a,299,27,108.26050000000001,2340.692,226.9,NA,NA,4.3,4781,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,1.7397843100000001,0.417213685,251.1,29.7,NA,5.7,3334,986444.3852639269,NA,NA,NA,NA,NA,2860,2450,2270,1950,77,3304.772727,2.17472269612903,0.6816444559556767,45.5,colombia,0.33625,0.29666666666666663,0.3164583333333333,2
colombia_29,colombia,mu2.5k2,2.5,2,22.31,0.99,b,564,33,124.1175,5785.255,254.8,NA,NA,4.7,3420,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,1.8156864,0.4174774749,165.4,12.9,NA,5.5,3163,NA,NA,NA,NA,NA,NA,2140,3570,1960,2130,285,2222,-0.7558055953419575,0.8235977919178639,43.73,colombia,0.28625,0.31833333333333336,0.3022916666666667,2
colombia_30,colombia,mu3k2,3,2,26.78,0.99,a,190,18,116.709,2551.316,343.9,NA,NA,4.4,6364,NA,NA,NA,NA,NA,NA,4e3,4e3,3e3,3e3,2.057372317,0.4128212773,136.1,17,NA,5.6,2987,1201219.367026593,NA,NA,NA,NA,NA,3160,3400,2530,2260,37,1380.5,4.292667988455008,0.6216173365480242,43.73,colombia,0.18,0.20166666666666666,0.19083333333333333,2
frenchguiana_77,frenchguiana,mu0.1k0.5,0.1,0.5,0.82,0.15,c,256,18,73.5,908,NA,NA,NA,NA,NA,18859744.990892533,NA,NA,NA,NA,NA,998,NA,555,NA,17.31699600330892,0.00669855000096316,NA,50.5,NA,4.605,170.62,10509627.994955866,NA,NA,0,0,6,941.5,NA,514.8999999999999,NA,60,378.000000000001,3.437936574874442,0.9007639005432846,31.6895676916846,frenchguiana,0.05661322645290581,0.0722522522522525,0.06443273935257915,2
frenchguiana_9,frenchguiana,mu0.2k0.5,0.2,0.5,1.63,0.15,a,260,14,65.5,1225,NA,NA,NA,NA,NA,67479168.3856259,NA,NA,NA,NA,NA,1039,NA,508,NA,44.119146671353676,0.45308467071347897,NA,20.3,NA,5.4,775.25,26552695.81056467,NA,NA,0,0,6,1006.8999999999999,NA,490,NA,10,96.00000000000276,17.035992442625787,0.7652699168769661,46.04568581723024,frenchguiana,0.030895091434071355,0.03543307086614173,0.03316408115010654,2
frenchguiana_18,frenchguiana,mu0.4k0.5,0.4,0.5,3.26,0.15,c,220,17,76,1192,NA,NA,NA,NA,NA,13814350.233416568,NA,NA,NA,NA,NA,770,NA,628,NA,19.39350562586302,0.010200091417559539,NA,7.4,NA,4.84,NA,25612750.455373414,NA,NA,0,0,8,735.1000000000001,NA,589.9,NA,2.5,16.37500000000014,2.558415522059619,0.9456309538158906,43.68123686680506,frenchguiana,0.04532467532467515,0.06066878980891723,0.05299673256679619,2
frenchguiana_21,frenchguiana,mu0.6k0.5,0.6,0.5,4.9,0.15,a,232,13,79.5,1171,NA,NA,NA,NA,NA,13286994.535519127,NA,NA,NA,NA,NA,749,NA,560,NA,18.922096186423357,NA,NA,33.2,NA,4.8,394.62,18382846.153846156,NA,NA,0,0,2,715.0999999999998,NA,523.8000000000001,NA,20,53.49999999999966,5.584208086009587,0.7077119725711378,46.30264611207181,frenchguiana,0.04526034712950628,0.06464285714285702,0.05495160213618165,2
frenchguiana_78,frenchguiana,mu0.8k0.5,0.8,0.5,6.53,0.15,b,260,15,63.5,964,NA,NA,NA,NA,NA,15066502.732240438,NA,NA,NA,NA,NA,867,NA,565,NA,23.115908052132813,0.006604123326466789,NA,58.3,NA,4.800000000000001,226.28,6518779.599271404,NA,NA,0,0,2,824.9,NA,539.2,NA,52,341.1199999999994,4.2614244320605605,0.646650980442934,45.27547345014127,frenchguiana,0.04855824682814305,0.04566371681415921,0.04711098182115113,2
frenchguiana_25,frenchguiana,mu1k0.5,1,0.5,8.16,0.15,a,222,15,93.5,1283,NA,NA,NA,NA,NA,19826812.38615665,NA,NA,NA,NA,NA,877,NA,398,NA,21.45955717543931,NA,NA,28.2,NA,5.22,760.87,16456648.451730423,NA,NA,0,0,14,831.6000000000001,NA,365.9,NA,30,118.71428571428501,7.763499158854506,0.7156178059800149,45.94308357215907,frenchguiana,0.051767388825541466,0.08065326633165835,0.0662103275785999,2
frenchguiana_31,frenchguiana,mu1.5k0.5,1.5,0.5,12.24,0.15,a,337,14,79,1097,NA,NA,NA,NA,NA,12998014.571949,NA,NA,NA,NA,NA,715,NA,415,NA,18.910975762771727,NA,NA,27.45,NA,5.05,216.23,10282187.89407314,NA,NA,0,0,4,666.7,NA,393.5,NA,97.5,177.44999999999777,21.225474408650427,0.7308036200295718,46.15567772004615,frenchguiana,0.06755244755244749,0.051807228915662654,0.05967983823405507,2
frenchguiana_87,frenchguiana,mu2k0.5,2,0.5,16.32,0.15,c,236,15,68.5,854,NA,NA,NA,NA,NA,14010965.391621131,NA,NA,NA,NA,NA,1135,NA,420,NA,22.93354781951962,NA,NA,65.25,NA,4.82,238.76,3714153.005464481,NA,NA,0,0,2,1080.8999999999999,NA,397.69999999999993,NA,97,247.35000000000076,3.612039718435055,0.5792610417921713,44.96551905704531,frenchguiana,0.047665198237885585,0.05309523809523826,0.05038021816656192,2
frenchguiana_33,frenchguiana,mu2.5k0.5,2.5,0.5,20.4,0.15,b,282,14,75,1068,NA,NA,NA,NA,NA,17433096.539162114,NA,NA,NA,NA,NA,586,NA,475,NA,11.069241101502234,NA,NA,21.25,NA,4.74,281.27,14424663.023679418,NA,NA,0,0,5,537.2,NA,398.40000000000003,NA,120,200.39999999999657,5.131940149863627,0.9387068332630077,45.868969953425434,frenchguiana,0.08327645051194532,0.16126315789473677,0.12226980420334105,2
frenchguiana_79,frenchguiana,mu3k0.5,3,0.5,24.48,0.15,c,170,14,71,1033,NA,NA,NA,NA,NA,24253023.679417126,NA,NA,NA,NA,NA,722,NA,613,NA,14.345867520945959,0.005995510707407426,NA,61.7,NA,4.82,590,4707775.53593947,NA,NA,0,0,2,699.1,NA,589.9,NA,45,247.95000000000167,3.036698870461764,0.8105901026969778,44.96695081703921,frenchguiana,0.03171745152354567,0.0376835236541599,0.03470048758885279,2
frenchguiana_35,frenchguiana,mu0.1k1,0.1,1,0.82,0.31,b,205,10,60,620,NA,NA,NA,NA,NA,20465865.20947177,NA,NA,NA,NA,NA,1079,NA,373,NA,27.231052833637456,0.013868967285436799,NA,44.9,NA,5.3149999999999995,542.18,5229016.393442623,NA,NA,0,0,6,1024.3000000000002,NA,308.5,NA,52,288.0800000000006,3.1907901584406977,0.7303188626589816,45.60645586261861,frenchguiana,0.05069508804448546,0.17292225201072386,0.11180867002760467,2
frenchguiana_37,frenchguiana,mu0.2k1,0.2,1,1.63,0.31,c,268,14,73,1123,NA,NA,NA,NA,NA,16858178.50637523,NA,NA,NA,NA,NA,449,NA,478,NA,15.521889547666184,NA,NA,70.2,NA,4.35,197.03,14914408.01457195,NA,NA,0,0,0,435.49999999999994,NA,462.09999999999997,NA,97.5,479.6999999999992,2.8936141030527542,0.6802866295082827,42.992178750458706,frenchguiana,0.030066815144766272,0.0332635983263599,0.031665206735563084,2
frenchguiana_41,frenchguiana,mu0.4k1,0.4,1,3.26,0.31,a,110,13,53.5,823,NA,NA,NA,NA,NA,14327322.40437159,NA,NA,NA,NA,NA,942,NA,432,NA,31.317091768699907,0.10427829519591013,NA,NA,NA,NA,NA,1751288.7767969738,NA,NA,0,0,0,933.2,NA,402.20000000000005,NA,1.5,96,1.8399899066773187,0.5878267791033237,45.630207963002086,frenchguiana,0.009341825902335408,0.06898148148148138,0.039161653691908396,2
frenchguiana_75,frenchguiana,mu0.6k1,0.6,1,4.9,0.31,c,194,16,82.5,1079,NA,NA,NA,NA,NA,20800473.588342443,NA,NA,NA,NA,NA,329,NA,468,NA,35.03794076716333,0.009090416659456304,NA,56.3,NA,5.09,1140.17,3805409.8360655736,NA,NA,0,0,14,310.00000000000006,NA,459.9,NA,70,576.7999999999986,4.9338227796049985,0.6648981952644087,40.76584355136896,frenchguiana,0.05775075987841928,0.017307692307692357,0.03752922609305582,2
frenchguiana_42,frenchguiana,mu0.8k1,0.8,1,6.53,0.31,b,338,16,82,1185,NA,NA,NA,NA,NA,17752495.44626594,NA,NA,NA,NA,NA,795,NA,642,NA,20.346935647828698,NA,NA,15.55,NA,4.65,NA,14745699.873896595,NA,NA,0,0,68,715.8000000000001,NA,568.8000000000001,NA,97.5,283.7250000000012,2.4743657286165646,0.8268098558172373,46.17701859674217,frenchguiana,0.09962264150943388,0.11401869158878494,0.1068206665491094,2
frenchguiana_44,frenchguiana,mu1k1,1,1,8.16,0.31,b,320,17,78,1304,NA,NA,NA,NA,NA,14683224.04371585,NA,NA,NA,NA,NA,711,NA,673,NA,14.706761556625363,0.004097083653412754,NA,33.5,NA,5.12,270.79,4255610.200364299,NA,NA,0,0,4,671.1,NA,637.5,NA,162,345.0600000000016,4.00527268061506,0.8740534862204615,46.20043005583636,frenchguiana,0.05611814345991558,0.05274888558692422,0.0544335145234199,2
frenchguiana_47,frenchguiana,mu1.5k1,1.5,1,12.24,0.31,a,300,16,83,1276,NA,NA,NA,NA,NA,17770746.81238616,NA,NA,NA,NA,NA,892,NA,401,NA,16.101025399989148,NA,NA,54.5,NA,4.925,239.57,22674280.51001822,NA,NA,0,0,6,848.1,NA,376.7,NA,82.5,262.3499999999967,2.5914350837693907,0.7107664999943901,46.07300863944967,frenchguiana,0.04921524663677127,0.06059850374064841,0.05490687518870984,2
frenchguiana_81,frenchguiana,mu2k1,2,1,16.32,0.31,c,200,15,71,966,NA,NA,NA,NA,NA,20566509.608077306,NA,NA,NA,NA,NA,694,NA,505,NA,34.93102527458476,0.029590434717485646,NA,64.65,NA,4.38,358,1751288.7767969735,NA,NA,0,0,2,670.6000000000001,NA,488.50000000000006,NA,82.5,207.8999999999991,1.9840752668654127,0.8007637109506198,44.893359851701376,frenchguiana,0.03371757925072026,0.032673267326732564,0.03319542328872641,2
frenchguiana_49,frenchguiana,mu2.5k1,2.5,1,20.4,0.31,c,310,11,63,1027,NA,NA,NA,NA,NA,15848269.581056468,NA,NA,NA,NA,NA,480,NA,322,NA,26.78967195778598,0.03812264760889631,NA,60.150000000000006,NA,4.395,456.4,2208064.312736444,NA,NA,0,0,1,453.99999999999994,NA,311.99999999999994,NA,161,489.4400000000033,1.510794882358688,0.6382954567635145,45.95758859385301,frenchguiana,0.054166666666666786,0.03105590062111819,0.04261128364389249,2
frenchguiana_50,frenchguiana,mu3k1,3,1,24.48,0.31,a,286,10,54,1116,NA,NA,NA,NA,NA,16158542.805100186,NA,NA,NA,NA,NA,784,NA,478,NA,36.37051443628009,0.017759920126704982,NA,52.099999999999994,NA,5.09,183.35,1476465.3215636823,NA,NA,0,0,0,735.8999999999999,NA,453.6,NA,147,148.46999999999997,1.2946668420765475,0.6387256083245562,45.884880652490835,frenchguiana,0.061352040816326704,0.05104602510460246,0.05619903296046458,2
frenchguiana_51,frenchguiana,mu0.1k2,0.1,2,0.82,0.61,b,200,13,38,727,NA,NA,NA,NA,NA,18433879.781420767,NA,NA,NA,NA,NA,776,NA,361,NA,39.64166254221499,0.03897733033244187,NA,8.8,NA,4.63,NA,15522786.885245904,NA,NA,0,0,32,719.0000000000001,NA,261.70000000000005,NA,1.5,6.299999999999972,1.2696520225994479,0.9970940645404743,46.033506024940046,frenchguiana,0.07345360824742253,0.2750692520775622,0.17426143016249238,2
