site_brom.id,site,trt.name,mu.scalar,k.scalar,intended.mu,intended.k,temporal.block,maxvol,leaf.number,mean.diam,catchment.area,turbidity.final,oxygen.percent.final,oxygen.conc.final,ph.final,chlorophyll.final,water.volume.final,fpom.final,mean.depth,max.depth,min.depth,amplitude,net_fluc,tot_fluc,sd.depth,cv.depth,wetness,prop.overflow.days,prop.driedout.days,long_dry,long_wet,n_driedout,n_overflow,last_dry,last_wet,predator_engulfer_total_abundance,predator_engulfer_total_biomass,predator_engulfer_total_taxa,predator_piercer_total_abundance,predator_piercer_total_biomass,predator_piercer_total_taxa,prey_filter.feeder_total_abundance,prey_filter.feeder_total_biomass,prey_filter.feeder_total_taxa,prey_gatherer_total_abundance,prey_gatherer_total_biomass,prey_gatherer_total_taxa,prey_piercer_total_abundance,prey_piercer_total_biomass,prey_piercer_total_taxa,prey_scraper_total_abundance,prey_scraper_total_biomass,prey_scraper_total_taxa,prey_shredder_total_abundance,prey_shredder_total_biomass,prey_shredder_total_taxa,predator_biomass,prey_biomass,predator_abundance,prey_abundance,Odonata_bio,cv_max_temp,cv_mean_temp,cv_min_temp,max_temp,mean_temp,min_temp,sd_max_temp,sd_mean_temp,sd_min_temp,pred_prey_biom_ratio,pred_prey_abund_ratio
frenchguiana_33,frenchguiana,mu2.5k0.5,2.5,0.5,20.4,0.15,b,282,14,75,1068,NA,21.25,NA,4.74,281.27,120,200.39999999999657,58.858333333333334,67.5,47.5,20,8.5,205.5,4.461356519956213,7.512383525854205,0.873074383802817,0.6916666666666667,0,0,13.5,0,41.5,65,1,3,0.0945,1,12,0.5888,2,1,0.0157,1,2,0.06,1,0,0,0,205,20.5749,2,0,0,0,0.6833,20.6506,15,208,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03308862696483395,0.07211538461538461
frenchguiana_79,frenchguiana,mu3k0.5,3,0.5,24.48,0.15,c,170,14,71,1033,NA,61.7,NA,4.82,590,45,247.95000000000167,37.61666666666667,63,10.5,52.5,-20.5,399.5,8.409897166121464,24.266529899179208,0.5970899470899471,0.075,0.008333333333333333,0,3,1,4.5,2,12,3,0.0945,1,3,0.1533,1,4,0.21489999999999998,2,6,0.18,1,1,8e-4,1,57,7.271100000000001,2,3,2.115,1,0.2478,9.7818,6,71,0,2.563526908833187,1.8762728280989067,3.4221437368139602,26.393939393939394,24.22727272727273,22.484848484848484,0.6766157386647593,0.4545697351712352,0.7694638341563511,0.025332760841562902,0.08450704225352113
frenchguiana_35,frenchguiana,mu0.1k1,0.1,1,0.82,0.31,b,205,10,60,620,NA,44.9,NA,5.3149999999999995,542.18,52,288.0800000000006,46.24166666666667,70.5,20.5,50,2,349,9.898008443968353,22.61669206488795,0.6466825134353038,0.10833333333333332,0.016666666666666666,2,8,2,6.5,40,7,13,0.4095,1,11,0.556,2,5,0.2144,1,1,0.03,1,3,0.0024000000000000002,1,139,15.7155,2,1,0.9775,1,0.9655,16.9398,24,149,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05699595036541163,0.1610738255033557
frenchguiana_37,frenchguiana,mu0.2k1,0.2,1,1.63,0.31,c,268,14,73,1123,NA,70.2,NA,4.35,197.03,97.5,479.6999999999992,64.76666666666667,78.5,43,35.5,-9,373,8.15094631282616,12.59602378221246,0.8257953929539295,0.3833333333333333,0,0,6,0,23,65,3,0,0,0,4,0.19829999999999998,2,3,0.1694,2,2,0.06,1,2,0.0016,1,59,7.077300000000001,2,2,1.955,1,0.19829999999999998,9.263300000000001,4,68,0,3.8161815012551363,2.0137922105486195,3.80327199851881,26.924242424242426,24.166035353535353,22.060606060606062,1.0274779587470269,0.4866537375479205,0.8390248530065738,0.021407057959906294,0.058823529411764705
frenchguiana_41,frenchguiana,mu0.4k1,0.4,1,3.26,0.31,a,110,13,53.5,823,NA,NA,NA,NA,NA,1.5,96,31.40833333333333,53.5,2.5,51,-2.5,452.5,14.163109652476667,44.654245897251585,0.5959020310633214,0.23333333333333334,0.04166666666666667,2,6.5,2.5,14,15,3,3,0.0633,2,20,0.9586,3,1,0.061,1,19,0.55,2,2,0.0016,1,41,4.9689,2,7,3.5725,2,1.0219,9.154,23,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11163425824776055,0.32857142857142857
frenchguiana_75,frenchguiana,mu0.6k1,0.6,1,4.9,0.31,c,194,16,82.5,1079,NA,56.3,NA,5.09,1140.17,70,576.7999999999986,43.15,53,28.5,24.5,-11.5,241.5,5.647612134287613,13.648820518239399,0.8051449275362319,0.5333333333333333,0,0,14,0,32,65,4,3,0.0945,1,0,0,0,2,0.0767,1,0,0,0,0,0,0,70,8.019,2,9,4.390000000000001,2,0.0945,12.485700000000001,3,81,0,2.58492155133738,1.9816165443869893,3.8890988594756046,26.5,24.12878787878788,22.196969696969695,0.6850042111044057,0.4781400525661031,0.863262095322994,0.007568658545375909,0.037037037037037035
frenchguiana_42,frenchguiana,mu0.8k1,0.8,1,6.53,0.31,b,338,16,82,1185,NA,15.55,NA,4.65,NA,97.5,283.7250000000012,57.108333333333334,73.5,36,37.5,-4.5,321.5,7.62954729959073,13.641247513118905,0.7595446735395188,0.16666666666666669,0,0,5,0,10,65,1,5,0.1575,1,8,0.4088,1,8,0.1256,1,2,0.06,1,2,0.0016,1,192,14.7117,2,6,4.23,2,0.5663,19.1289,13,210,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029604420536465767,0.06190476190476191
frenchguiana_44,frenchguiana,mu1k1,1,1,8.16,0.31,b,320,17,78,1304,NA,33.5,NA,5.12,270.79,162,345.0600000000016,72.225,81,52.5,28.5,14,258,5.284555819977205,7.278462874577597,0.893026483320601,0.6416666666666667,0,0,10,0,38.5,65,1,5,0.1575,1,12,0.6132,1,19,0.7909,3,4,0.12,1,0,0,0,188,23.2494,2,1,0.9775,1,0.7706999999999999,25.137800000000002,17,212,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030659007550382287,0.08018867924528301
frenchguiana_47,frenchguiana,mu1.5k1,1.5,1,12.24,0.31,a,300,16,83,1276,NA,54.5,NA,4.925,239.57,82.5,262.3499999999967,58.041666666666664,77,32.5,44.5,-5,421,8.26186512671758,14.398254147711238,0.7535951576576576,0.10833333333333334,0,0,3,0,6.5,65,3,0,0,0,2,0.1022,1,8,0.42679999999999996,2,5,0.15,1,0,0,0,96,10.561499999999999,2,23,11.855,1,0.1022,22.993299999999998,2,132,0,3.123765441487643,1.9353702948807756,3.70713877921129,26.46969696969697,24.07260101010101,22.136363636363637,0.8268512464058958,0.46589396915466447,0.8206257206708629,0.00444477304258197,0.015151515151515152
frenchguiana_81,frenchguiana,mu2k1,2,1,16.32,0.31,c,200,15,71,966,NA,64.65,NA,4.38,358,82.5,207.8999999999991,57.05833333333334,82.5,25,57.5,23,440,12.001583327846927,21.842725172026793,0.6991477272727273,0.175,0,0,2,0,10.5,65,1,2,0.063,1,0,0,0,13,0.5989,2,5,0.15,1,2,0.0016,1,92,12.2118,2,9,7.1625,1,0.063,20.1248,2,121,0,2.805038496755455,1.9856495182409097,3.872817739137555,26.575757575757574,24.157828282828284,22.136363636363637,0.7454602308044043,0.479689800915446,0.8573010177090862,0.0031304658928287487,0.01652892561983471
